day,hour,junction_id,is_rush_hour,is_weekend,weather_encoded,vehicle_count,congestion_level
0,0,J1,0,0,2,16,0
0,0,J2,0,0,0,19,0
0,0,J3,0,0,0,18,0
0,0,J4,0,0,0,16,0
0,0,J5,0,0,2,23,0
0,1,J1,0,0,0,24,0
0,1,J2,0,0,1,25,0
0,1,J3,0,0,0,18,0
0,1,J4,0,0,0,23,0
0,1,J5,0,0,2,15,0
0,2,J1,0,0,2,18,0
0,2,J2,0,0,2,25,0
0,2,J3,0,0,2,23,0
0,2,J4,0,0,1,35,1
0,2,J5,0,0,2,19,0
0,3,J1,0,0,0,17,0
0,3,J2,0,0,2,21,0
0,3,J3,0,0,1,31,1
0,3,J4,0,0,0,20,0
0,3,J5,0,0,0,16,0
0,4,J1,0,0,1,31,1
0,4,J2,0,0,1,38,1
0,4,J3,0,0,0,22,0
0,4,J4,0,0,2,16,0
0,4,J5,0,0,1,34,1
0,5,J1,0,0,1,44,1
0,5,J2,0,0,1,37,1
0,5,J3,0,0,2,16,0
0,5,J4,0,0,0,25,0
0,5,J5,0,0,0,19,0
0,6,J1,0,0,0,18,0
0,6,J2,0,0,0,21,0
0,6,J3,0,0,1,42,1
0,6,J4,0,0,1,32,1
0,6,J5,0,0,1,38,1
0,7,J1,0,0,1,45,1
0,7,J2,0,0,0,24,0
0,7,J3,0,0,2,17,0
0,7,J4,0,0,2,18,0
0,7,J5,0,0,0,22,0
0,8,J1,1,0,1,81,2
0,8,J2,1,0,0,71,2
0,8,J3,1,0,0,52,1
0,8,J4,1,0,1,72,2
0,8,J5,1,0,0,83,2
0,9,J1,1,0,2,58,1
0,9,J2,1,0,2,66,2
0,9,J3,1,0,2,61,2
0,9,J4,1,0,1,70,2
0,9,J5,1,0,2,62,2
0,10,J1,0,0,1,40,1
0,10,J2,0,0,1,30,1
0,10,J3,0,0,2,22,0
0,10,J4,0,0,0,15,0
0,10,J5,0,0,0,17,0
0,11,J1,0,0,2,17,0
0,11,J2,0,0,2,21,0
0,11,J3,0,0,2,16,0
0,11,J4,0,0,1,40,1
0,11,J5,0,0,1,37,1
0,12,J1,0,0,2,15,0
0,12,J2,0,0,2,16,0
0,12,J3,0,0,2,23,0
0,12,J4,0,0,1,40,1
0,12,J5,0,0,0,19,0
0,13,J1,0,0,1,34,1
0,13,J2,0,0,0,19,0
0,13,J3,0,0,2,17,0
0,13,J4,0,0,2,16,0
0,13,J5,0,0,2,19,0
0,14,J1,0,0,2,23,0
0,14,J2,0,0,2,18,0
0,14,J3,0,0,0,20,0
0,14,J4,0,0,0,23,0
0,14,J5,0,0,2,15,0
0,15,J1,0,0,2,20,0
0,15,J2,0,0,1,26,0
0,15,J3,0,0,1,32,1
0,15,J4,0,0,0,18,0
0,15,J5,0,0,2,16,0
0,16,J1,0,0,0,22,0
0,16,J2,0,0,0,23,0
0,16,J3,0,0,0,17,0
0,16,J4,0,0,2,22,0
0,16,J5,0,0,2,17,0
0,17,J1,1,0,1,86,2
0,17,J2,1,0,0,82,2
0,17,J3,1,0,2,70,2
0,17,J4,1,0,2,60,2
0,17,J5,1,0,2,70,2
0,18,J1,1,0,1,98,2
0,18,J2,1,0,0,55,1
0,18,J3,1,0,0,55,1
0,18,J4,1,0,2,65,2
0,18,J5,1,0,2,52,1
0,19,J1,1,0,0,77,2
0,19,J2,1,0,0,53,1
0,19,J3,1,0,0,77,2
0,19,J4,1,0,0,64,2
0,19,J5,1,0,1,86,2
0,20,J1,0,0,2,17,0
0,20,J2,0,0,2,24,0
0,20,J3,0,0,2,22,0
0,20,J4,0,0,0,22,0
0,20,J5,0,0,1,29,0
0,21,J1,0,0,0,25,0
0,21,J2,0,0,1,36,1
0,21,J3,0,0,1,32,1
0,21,J4,0,0,2,25,0
0,21,J5,0,0,2,16,0
0,22,J1,0,0,0,21,0
0,22,J2,0,0,2,20,0
0,22,J3,0,0,0,18,0
0,22,J4,0,0,0,18,0
0,22,J5,0,0,2,22,0
0,23,J1,0,0,0,21,0
0,23,J2,0,0,0,19,0
0,23,J3,0,0,1,29,0
0,23,J4,0,0,1,34,1
0,23,J5,0,0,0,25,0
1,0,J1,0,0,2,15,0
1,0,J2,0,0,0,18,0
1,0,J3,0,0,0,21,0
1,0,J4,0,0,1,35,1
1,0,J5,0,0,1,27,0
1,1,J1,0,0,1,31,1
1,1,J2,0,0,1,36,1
1,1,J3,0,0,1,43,1
1,1,J4,0,0,2,22,0
1,1,J5,0,0,0,18,0
1,2,J1,0,0,1,28,0
1,2,J2,0,0,2,23,0
1,2,J3,0,0,0,20,0
1,2,J4,0,0,0,15,0
1,2,J5,0,0,2,22,0
1,3,J1,0,0,2,23,0
1,3,J2,0,0,0,15,0
1,3,J3,0,0,2,16,0
1,3,J4,0,0,0,16,0
1,3,J5,0,0,2,16,0
1,4,J1,0,0,2,18,0
1,4,J2,0,0,1,35,1
1,4,J3,0,0,0,24,0
1,4,J4,0,0,2,15,0
1,4,J5,0,0,2,16,0
1,5,J1,0,0,1,44,1
1,5,J2,0,0,2,23,0
1,5,J3,0,0,1,32,1
1,5,J4,0,0,2,20,0
1,5,J5,0,0,0,19,0
1,6,J1,0,0,1,37,1
1,6,J2,0,0,2,19,0
1,6,J3,0,0,1,31,1
1,6,J4,0,0,0,22,0
1,6,J5,0,0,2,24,0
1,7,J1,0,0,0,16,0
1,7,J2,0,0,2,18,0
1,7,J3,0,0,2,19,0
1,7,J4,0,0,0,20,0
1,7,J5,0,0,0,18,0
1,8,J1,1,0,1,73,2
1,8,J2,1,0,2,71,2
1,8,J3,1,0,2,80,2
1,8,J4,1,0,2,55,1
1,8,J5,1,0,2,64,2
1,9,J1,1,0,0,77,2
1,9,J2,1,0,1,67,2
